X1,country,date,sm_plf,pred_arr,sd_arr,showup
1,SE,2020-06-30,1129,1632.29282010075,168.855633121351,1
4,CZ,2020-06-30,0,0,0,0
15,BE,2020-07-01,0,0,0,0
16,SE,2020-07-01,2026,2104.42400343605,168.855633121351,1
27,RO,2020-07-01,0,0,0,0
31,CZ,2020-07-01,0,0,0,0
40,IL,2020-07-01,0,0,0,0
54,BG,2020-07-01,0,0,0,0
56,NL,2020-07-01,0,0,0,0
60,PL,2020-07-01,0,0,0,0
63,MT,2020-07-01,9.26930988939987,9.88993762880811,0.774935110767477,0.00458933525901714
67,ES,2020-07-01,109,140.764922299883,168.855633121351,1
86,BE,2020-07-02,0,0,0,0
87,SE,2020-07-02,2507.16666666667,2563.23720789585,168.855633121351,1
96,RO,2020-07-02,0,0,0,0
100,CZ,2020-07-02,0,0,0,0
111,IL,2020-07-02,0,0,0,0
128,NL,2020-07-02,0,0,0,0
132,PL,2020-07-02,0,0,0,0
134,MT,2020-07-02,8.80866272661624,8.89039874546897,0.637927741317219,0.00377794764394246
137,ES,2020-07-02,138,149.862316367485,168.855633121351,1
154,BE,2020-07-03,0,0,0,0
155,SE,2020-07-03,2613.42857142857,2851.04991278,168.855633121351,1
164,RO,2020-07-03,0,0,0,0
170,CZ,2020-07-03,0,0,0,0
182,IL,2020-07-03,0,0,0,0
199,BG,2020-07-03,0,0,0,0
201,NL,2020-07-03,0,0,0,0
205,PL,2020-07-03,0,0,0,0
208,MT,2020-07-03,7.61016012015208,7.61016012015208,0.503829996174527,0.00298379146055757
211,ES,2020-07-03,134.666666666667,155.521072439627,168.855633121351,1
233,BE,2020-07-04,0,0,0,0
235,SE,2020-07-04,2897.14285714286,2897.14285714286,168.855633121351,1
247,RO,2020-07-04,0.713466042154567,0.713466042154567,0.138406256656845,8.19672131147541e-4
254,CZ,2020-07-04,0,0,0,0
267,IL,2020-07-04,0,0,0,0
290,BG,2020-07-04,0,0,0,0
295,NL,2020-07-04,0,0,0,0
300,PL,2020-07-04,0,0,0,0
