eb_type,country,isCtryFlagged,isCtryGrey,color,prev,num_pos,num_tested,num_arrivals,p0,S0,date,eb_prev_old,alpha,beta,alpha.post,beta.post,eb_prev,h,hm
AD,AD,FALSE,FALSE,white,0,0,74,220,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.001955636597898084,0.0017661521565515773,37.44153010615755,0.0017661521565515773,111.44153010615756,1.5847989209308903e-5,1.5991483561127616e-5,-0.009038428602390632
AE,AE,FALSE,FALSE,white,0,0,183,2113,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.0015875492745307542,0.0017661521565515773,37.44153010615755,0.0017661521565515773,220.44153010615756,8.011820665582911e-6,8.048330419137433e-6,-0.004548937538143765
AM,AM,TRUE,FALSE,black,0,0,31,4406,0.004163116954777123,143.57225160651922,2020-08-02,0.0036667731904151974,0.5977080748986272,142.97454353162058,0.5977080748986272,173.97454353162058,0.0034238435341135648,0.003443569288100298,-0.002317720265641026
AQ,AQ,TRUE,FALSE,black,0,0,2,3,0.004163116954777123,143.57225160651922,2020-08-02,0.0040472897561340745,0.5977080748986272,142.97454353162058,0.5977080748986272,144.97454353162058,0.004105920381819936,0.00413432085519013,-0.002782635814487323
AS,AS,TRUE,FALSE,black,0,0,52,105,0.004163116954777123,143.57225160651922,2020-08-02,0.00343304552050998,0.5977080748986272,142.97454353162058,0.5977080748986272,194.97454353162058,0.0030562008157536762,0.0030719080956485203,-0.002067570898623932
AT,AT,FALSE,FALSE,white,0,0,3,6,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.0023035329988465355,0.0017661521565515773,37.44153010615755,0.0017661521565515773,40.44153010615755,4.366983702987617e-5,4.4776991886911506e-5,-0.025308073678883634
AU,AU,FALSE,FALSE,white,0,0,11,31,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.002258267347583824,0.0017661521565515773,37.44153010615755,0.0017661521565515773,48.44153010615755,3.64581333841101e-5,3.722659038982924e-5,-0.021040566878160683
AW,AW,TRUE,FALSE,black,NA,0,0,1,0.004163116954777123,143.57225160651922,2020-08-02,0.004076464373577833,0.5977080748986272,142.97454353162058,0.5977080748986272,142.97454353162058,0.004163116954777123,0.004192317005333011,-0.002821670560493398
BA,BA,TRUE,FALSE,black,0,0,7,9,0.004163116954777123,143.57225160651922,2020-08-02,0.0039761480825070685,0.5977080748986272,142.97454353162058,0.5977080748986272,149.97454353162058,0.003969576522376642,0.003996116047453923,-0.0026896160269064147
BD,BD,TRUE,FALSE,black,0,0,3,10,0.004163116954777123,143.57225160651922,2020-08-02,0.004032858487662189,0.5977080748986272,142.97454353162058,0.5977080748986272,145.97454353162058,0.004077907437099387,0.004105920381819936,-0.0027635206618137984
BE,BE,FALSE,FALSE,white,0.002592016588906169,5,1929,9017,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.002545841776731551,0.0017661521565515773,37.44153010615755,5.001766152156551,1961.4415301061576,0.002543559817704255,0.002544853958228454,0.0020360628870722745
BF,BF,TRUE,FALSE,black,0,0,15,39,0.004163116954777123,143.57225160651922,2020-08-02,0.003867381184519276,0.5977080748986272,142.97454353162058,0.5977080748986272,157.97454353162058,0.0037693106381675055,0.0037932317956031435,-0.002553063251935716
BG*,BG,FALSE,TRUE,grey,0.020134228187919462,6,298,478,0.008050241740066199,132.63798642441296,2020-08-02,0.016092411561062444,1.067767854632143,131.57021856978082,7.067767854632143,423.5702185697808,0.0164123186468426,0.016450518990307177,0.014122978056782361
BH,BH,TRUE,FALSE,black,NA,0,0,1,0.004163116954777123,143.57225160651922,2020-08-02,0.004076464373577833,0.5977080748986272,142.97454353162058,0.5977080748986272,142.97454353162058,0.004163116954777123,0.004192317005333011,-0.002821670560493398
BJ,BJ,TRUE,FALSE,black,0,0,2,6,0.004163116954777123,143.57225160651922,2020-08-02,0.0040472897561340745,0.5977080748986272,142.97454353162058,0.5977080748986272,144.97454353162058,0.004105920381819936,0.00413432085519013,-0.002782635814487323
BL,BL,TRUE,FALSE,black,0,0,1,9,0.004163116954777123,143.57225160651922,2020-08-02,0.0040618246778505495,0.5977080748986272,142.97454353162058,0.5977080748986272,143.97454353162058,0.00413432085519013,0.004163116954777123,-0.0028020172463681403
BM,BM,TRUE,FALSE,black,0,0,28,51,0.004163116954777123,143.57225160651922,2020-08-02,0.0037027863463188803,0.5977080748986272,142.97454353162058,0.5977080748986272,170.97454353162058,0.003483710619298745,0.003504134284850954,-0.00235848399321943
BO,BO,TRUE,FALSE,black,0,0,13,64,0.004163116954777123,143.57225160651922,2020-08-02,0.003894011198669931,0.5977080748986272,142.97454353162058,0.5977080748986272,155.97454353162058,0.0038174585136625853,0.0038419966846682855,-0.0025858848280917654
BR,BR,TRUE,FALSE,black,0,0,9,14,0.004163116954777123,143.57225160651922,2020-08-02,0.003948386803993499,0.5977080748986272,142.97454353162058,0.5977080748986272,151.97454353162058,0.003917541155780439,0.003943387187057657,-0.0026541264699670793
BS,BS,TRUE,FALSE,black,0.00392156862745098,1,255,457,0.004163116954777123,143.57225160651922,2020-08-02,0.004002282371493688,0.5977080748986272,142.97454353162058,1.5977080748986272,396.9745435316206,0.004008578290281797,0.004018660931296315,0.001503394848315984
BT,BT,TRUE,FALSE,black,0,0,5,14,0.004163116954777123,143.57225160651922,2020-08-02,0.004004302506746848,0.5977080748986272,142.97454353162058,0.5977080748986272,147.97454353162058,0.00402301283338968,0.004050274142948854,-0.0027260675413019243
BV,BV,TRUE,FALSE,black,0,0,2,4,0.004163116954777123,143.57225160651922,2020-08-02,0.0040472897561340745,0.5977080748986272,142.97454353162058,0.5977080748986272,144.97454353162058,0.004105920381819936,0.00413432085519013,-0.002782635814487323
BW,BW,TRUE,FALSE,black,0,0,5,9,0.004163116954777123,143.57225160651922,2020-08-02,0.004004302506746848,0.5977080748986272,142.97454353162058,0.5977080748986272,147.97454353162058,0.00402301283338968,0.004050274142948854,-0.0027260675413019243
BY,BY,TRUE,FALSE,black,0,0,39,61,0.004163116954777123,143.57225160651922,2020-08-02,0.003574076317944018,0.5977080748986272,142.97454353162058,0.5977080748986272,181.97454353162058,0.0032738166377375417,0.0032918470174281133,-0.0022156024477416832
BZ,BZ,TRUE,FALSE,black,0.023529411764705882,2,85,200,0.004163116954777123,143.57225160651922,2020-08-02,0.008638439049592496,0.5977080748986272,142.97454353162058,2.597708074898627,225.97454353162058,0.011364931905078791,0.011414871789334667,0.007020662948227638
CA,CA,FALSE,FALSE,white,0.00390625,1,256,4458,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.0029433082260059305,0.0017661521565515773,37.44153010615755,1.0017661521565515,292.44153010615753,0.003413832126785785,0.003425505610741356,6.039297802851596e-6
CD,CD,TRUE,FALSE,black,0,0,8,33,0.004163116954777123,143.57225160651922,2020-08-02,0.003962218816510939,0.5977080748986272,142.97454353162058,0.5977080748986272,150.97454353162058,0.003943387187057657,0.003969576522376642,-0.002671753399508539
CF,CF,TRUE,FALSE,black,NA,0,0,1,0.004163116954777123,143.57225160651922,2020-08-02,0.004076464373577833,0.5977080748986272,142.97454353162058,0.5977080748986272,142.97454353162058,0.004163116954777123,0.004192317005333011,-0.002821670560493398
CH,CH,FALSE,FALSE,white,0,0,26,90,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.002178018791002594,0.0017661521565515773,37.44153010615755,0.0017661521565515773,63.44153010615755,2.783827860016222e-5,2.828409552957289e-5,-0.015986245244228873
CI,CI,TRUE,FALSE,black,0,0,1,11,0.004163116954777123,143.57225160651922,2020-08-02,0.0040618246778505495,0.5977080748986272,142.97454353162058,0.5977080748986272,143.97454353162058,0.00413432085519013,0.004163116954777123,-0.0028020172463681403
CK,CK,TRUE,FALSE,black,NA,0,0,1,0.004163116954777123,143.57225160651922,2020-08-02,0.004076464373577833,0.5977080748986272,142.97454353162058,0.5977080748986272,142.97454353162058,0.004163116954777123,0.004192317005333011,-0.002821670560493398
CL,CL,TRUE,FALSE,black,0,0,3,5,0.004163116954777123,143.57225160651922,2020-08-02,0.004032858487662189,0.5977080748986272,142.97454353162058,0.5977080748986272,145.97454353162058,0.004077907437099387,0.004105920381819936,-0.0027635206618137984
CN,CN,FALSE,FALSE,white,0,0,76,168,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.0019473519967433712,0.0017661521565515773,37.44153010615755,0.0017661521565515773,113.44153010615756,1.556858990177781e-5,1.5707047154631837e-5,-0.00887766439673044
CO,CO,TRUE,FALSE,black,0.004081632653061225,1,245,2197,0.004163116954777123,143.57225160651922,2020-08-02,0.004078887996258559,0.5977080748986272,142.97454353162058,1.5977080748986272,386.9745435316206,0.004111740013068453,0.004122348976935254,0.0015421849020952289
CR,CR,TRUE,FALSE,black,0,0,1,1,0.004163116954777123,143.57225160651922,2020-08-02,0.0040618246778505495,0.5977080748986272,142.97454353162058,0.5977080748986272,143.97454353162058,0.00413432085519013,0.004163116954777123,-0.0028020172463681403
CU,CU,FALSE,FALSE,white,0,0,108,1757,4.7168714644331335e-5,37.443296258314106,2020-08-02,0.0018237384716968223,0.0017661521565515773,37.44153010615755,0.0017661521565515773,145.44153010615756,1.2143235212538144e-5,1.2227304432274184e-5,-0.006910904650488342
CV,CV,TRUE,FALSE,black,0,0,3,3,0.004163116954777123,143.57225160651922,2020-08-02,0.004032858487662189,0.5977080748986272,142.97454353162058,0.5977080748986272,145.97454353162058,0.004077907437099387,0.004105920381819936,-0.0027635206618137984
