"date","country","cases_metric"
2020-09-19,"AF",1.068
2020-09-20,"AF",1.02
2020-09-21,"AF",1.204
2020-09-22,"AF",1.108
2020-09-23,"AF",1.031
2020-09-24,"AF",1.064
2020-09-25,"AF",1.094
2020-09-26,"AF",1.061
2020-09-27,"AF",1.002
2020-09-28,"AF",0.672
2020-09-29,"AF",0.606
2020-09-30,"AF",0.58
2020-10-01,"AF",0.451
2020-10-02,"AF",0.422
2020-10-03,"AF",0.382
2020-10-04,"AF",0.385
2020-10-05,"AF",0.418
2020-10-06,"AF",0
2020-10-07,"AF",0.851
2020-10-08,"AF",1.028
2020-10-09,"AF",1.215
2020-10-10,"AF",1.479
2020-10-11,"AF",1.49
2020-10-12,"AF",0
2020-10-13,"AF",1.644
2020-10-14,"AF",1.622
2020-10-15,"AF",1.637
2020-10-16,"AF",1.505
2020-10-17,"AF",1.45
2020-10-18,"AF",1.607
2020-10-19,"AF",0
2020-10-20,"AF",0
2020-10-21,"AF",0
2020-10-22,"AF",1.894
2020-10-23,"AF",2.202
2020-10-24,"AF",0
2020-10-25,"AF",2.301
2020-10-26,"AF",2.323
2020-10-27,"AF",0
2020-10-28,"AF",0
2020-10-29,"AF",2.33
2020-10-30,"AF",2.356
2020-10-31,"AF",2.374
2020-11-01,"AF",0
2020-08-06,"AG",0
2020-08-07,"AG",1.459
2020-08-08,"AG",0
2020-08-09,"AG",0
2020-08-10,"AG",0
2020-08-11,"AG",0
2020-08-12,"AG",0
2020-08-13,"AG",0
2020-08-14,"AG",0
2020-08-15,"AG",1.459
2020-08-16,"AG",1.459
2020-08-17,"AG",0
2020-08-18,"AG",0
2020-08-19,"AG",0
2020-08-20,"AG",2.918
2020-08-21,"AG",2.918
2020-08-22,"AG",1.459
2020-08-23,"AG",0
2020-08-24,"AG",1.459
2020-08-25,"AG",0
2020-08-26,"AG",0
2020-08-27,"AG",0
2020-08-28,"AG",0
2020-08-29,"AG",0
2020-08-30,"AG",0
2020-08-31,"AG",0
2020-09-01,"AG",0
2020-09-02,"AG",0
2020-09-03,"AG",0
2020-09-04,"AG",1.459
2020-09-05,"AG",1.459
2020-09-06,"AG",0
2020-09-07,"AG",1.459
2020-09-08,"AG",0
2020-09-09,"AG",1.459
2020-09-10,"AG",0
2020-09-11,"AG",0
2020-09-12,"AG",0
2020-09-13,"AG",0
2020-09-14,"AG",0
2020-09-15,"AG",0
2020-09-16,"AG",0
2020-09-17,"AG",0
2020-09-18,"AG",0
2020-09-19,"AG",0
2020-09-20,"AG",0
2020-09-21,"AG",0
2020-09-22,"AG",0
2020-09-23,"AG",0
2020-09-24,"AG",0
2020-09-25,"AG",0
2020-09-26,"AG",0
2020-09-27,"AG",0
2020-09-28,"AG",0
2020-09-29,"AG",0
2020-09-30,"AG",0
2020-10-01,"AG",0
2020-10-02,"AG",0
2020-10-03,"AG",0
2020-10-04,"AG",0
2020-10-05,"AG",0
2020-10-06,"AG",0
2020-10-07,"AG",0
2020-10-08,"AG",0
2020-10-09,"AG",14.588
2020-10-10,"AG",0
2020-10-11,"AG",5.835
2020-10-12,"AG",0
2020-10-13,"AG",0
2020-10-14,"AG",0
2020-10-15,"AG",0
2020-10-16,"AG",0
2020-10-17,"AG",0
2020-10-18,"AG",0
2020-10-19,"AG",0
2020-10-20,"AG",0
2020-10-21,"AG",0
2020-10-22,"AG",0
2020-10-23,"AG",14.588
2020-10-24,"AG",14.588
2020-10-25,"AG",7.294
2020-10-26,"AG",0
2020-10-27,"AG",7.294
2020-10-28,"AG",0
2020-10-29,"AG",0
2020-10-30,"AG",0
2020-10-31,"AG",0
2020-11-01,"AG",0
2020-08-06,"AL",38.919
2020-08-07,"AL",40.656
2020-08-08,"AL",43.436
2020-08-09,"AL",43.635
2020-08-10,"AL",44.28
2020-08-11,"AL",45.471
2020-08-12,"AL",45.968
2020-08-13,"AL",46.067
2020-08-14,"AL",47.407
2020-08-15,"AL",47.953
2020-08-16,"AL",48.896
2020-08-17,"AL",48.102
2020-08-18,"AL",47.804
2020-08-19,"AL",48.549
2020-08-20,"AL",49.393
2020-08-21,"AL",49.443
2020-08-22,"AL",49.74
2020-08-23,"AL",50.386
2020-08-24,"AL",51.974
2020-08-25,"AL",54.903
2020-08-26,"AL",54.853
2020-08-27,"AL",55.35
2020-08-28,"AL",55.399
2020-08-29,"AL",53.414
2020-08-30,"AL",49.84
2020-08-31,"AL",47.308
2020-09-01,"AL",45.074
2020-09-02,"AL",42.046
2020-09-03,"AL",39.763
2020-09-04,"AL",37.777
2020-09-05,"AL",38.323
2020-09-06,"AL",40.855
2020-09-07,"AL",43.436
2020-09-08,"AL",44.329
2020-09-09,"AL",47.01
2020-09-10,"AL",48.45
2020-09-11,"AL",50.435
2020-09-12,"AL",52.322
2020-09-13,"AL",53.761
2020-09-14,"AL",54.506
2020-09-15,"AL",55.3
2020-09-16,"AL",55.548
2020-09-17,"AL",55.201
2020-09-18,"AL",54.01
2020-09-19,"AL",52.222
2020-09-20,"AL",51.676
2020-09-21,"AL",51.23
2020-09-22,"AL",50.386
2020-09-23,"AL",49.343
2020-09-24,"AL",48.202
2020-09-25,"AL",48.301
2020-09-26,"AL",48.251
2020-09-27,"AL",46.017
2020-09-28,"AL",43.386
2020-09-29,"AL",42.493
2020-09-30,"AL",42.294
2020-10-01,"AL",42.791
2020-10-02,"AL",43.932
2020-10-03,"AL",45.67
2020-10-04,"AL",47.854
2020-10-05,"AL",49.989
2020-10-06,"AL",50.584
2020-10-07,"AL",52.123
2020-10-08,"AL",53.662
2020-10-09,"AL",54.258
2020-10-10,"AL",54.655
2020-10-11,"AL",55.3
2020-10-12,"AL",56.243
2020-10-13,"AL",57.584
2020-10-14,"AL",58.775
2020-10-15,"AL",60.81
2020-10-16,"AL",65.179
2020-10-17,"AL",71.235
2020-10-18,"AL",76.596
2020-10-19,"AL",82.206
2020-10-20,"AL",88.361
2020-10-21,"AL",94.268
2020-10-22,"AL",98.935
2020-10-23,"AL",101.169
2020-10-24,"AL",102.012
2020-10-25,"AL",103.452
2020-10-26,"AL",104.346
2020-10-27,"AL",103.998
2020-10-28,"AL",103.154
2020-10-29,"AL",103.849
2020-10-30,"AL",102.509
2020-10-31,"AL",103.154
2020-11-01,"AL",100.126
2020-08-06,"AM",79.498
2020-08-07,"AM",78.245
2020-08-08,"AM",69.181
2020-08-09,"AM",0
2020-08-10,"AM",0
2020-08-11,"AM",0
2020-08-12,"AM",0
2020-08-13,"AM",0
2020-08-14,"AM",0
2020-08-15,"AM",63.348
2020-08-16,"AM",0
2020-08-17,"AM",60.407
2020-08-18,"AM",0
2020-08-19,"AM",0
2020-08-20,"AM",60.841
2020-08-21,"AM",62.48
2020-08-22,"AM",56.791
2020-08-23,"AM",0
2020-08-24,"AM",0
2020-08-25,"AM",54.188
2020-08-26,"AM",0
2020-08-27,"AM",0
2020-08-28,"AM",45.848
2020-08-29,"AM",46.956
2020-08-30,"AM",48.692
