,Country,Lag,AUC
215,PH,15,0.6231884057971014
216,PH,16,0.6231884057971014
217,PH,17,0.629399585921325
218,PH,18,0.629399585921325
219,PH,19,0.5641821946169772
220,GB,0,0.5833333333333334
221,GB,1,0.5833333333333334
222,GB,2,0.5833333333333334
223,GB,3,0.5833333333333334
224,GB,4,0.5833333333333334
225,GB,5,0.5833333333333334
226,GB,6,0.5833333333333334
227,GB,7,0.5833333333333334
228,GB,8,0.5833333333333334
229,GB,9,0.5833333333333334
230,GB,10,0.5
231,GB,11,0.5
232,GB,12,0.5
233,GB,13,0.5
234,GB,14,0.5
235,GB,15,0.5
236,GB,16,0.5
237,GB,17,0.5
238,GB,18,0.5
239,GB,19,0.5
240,CN,0,0.5
241,CN,1,0.5151515151515151
242,CN,2,0.5606060606060606
243,CN,3,0.6212121212121212
244,CN,4,0.6363636363636364
245,CN,5,0.6666666666666666
246,CN,6,0.6969696969696969
247,CN,7,0.8181818181818181
248,CN,8,0.8181818181818181
249,CN,9,0.8181818181818181
250,CN,10,0.8181818181818181
251,CN,11,0.8181818181818181
252,CN,12,0.8181818181818182
253,CN,13,0.8181818181818181
254,CN,14,0.8181818181818182
255,CN,15,0.8181818181818182
256,CN,16,0.8181818181818181
257,CN,17,0.8181818181818182
258,CN,18,0.8181818181818182
259,CN,19,0.8181818181818182
260,HR,0,0.6776859504132231
261,HR,1,0.6776859504132231
262,HR,2,0.6776859504132231
263,HR,3,0.6776859504132231
264,HR,4,0.5454545454545454
265,HR,5,0.5
266,HR,6,0.5
267,HR,7,0.5
268,HR,8,0.5
269,HR,9,0.5151515151515151
270,HR,10,0.5151515151515151
271,HR,11,0.5289256198347108
272,HR,12,0.5
273,HR,13,0.5
274,HR,14,0.5909090909090909
275,HR,15,0.5
276,HR,16,0.5
277,HR,17,0.5
278,HR,18,0.5
279,HR,19,0.5
280,AE,0,0.5
281,AE,1,0.5
282,AE,2,0.5
283,AE,3,0.5
284,AE,4,0.5
285,AE,5,0.5
286,AE,6,0.5
287,AE,7,0.5
288,AE,8,0.5
289,AE,9,0.5
290,AE,10,0.5
291,AE,11,0.5
292,AE,12,0.5
293,AE,13,0.5
294,AE,14,0.5
295,AE,15,0.5
296,AE,16,0.5
297,AE,17,0.5
298,AE,18,0.5
299,AE,19,0.5
300,MK,0,0.5494252873563218
301,MK,1,0.6643678160919539
302,MK,2,0.6344827586206896
303,MK,3,0.6310344827586207
304,MK,4,0.5517241379310345
305,MK,5,0.5298850574712644
306,MK,6,0.5298850574712644
307,MK,7,0.5689655172413793
